id,run,feedback_on,question_text,response,rt
201,5,Feedback,How often were you using the Mindful Describing practice?,5,
201,5,Feedback,How often did you check the position of the ball?,6,
201,5,Feedback,How difficult was it to apply Mindful Describing?,6,
201,5,Feedback,How calm do you feel right now?,6,
201,5,Feedback,The ball seemed to move up while I was practicing Mindful Describing,6,
201,5,Feedback,The ball seemed to move down while my mind was wandering.,6,
201,5,Feedback,The ball seemed to move down while I was trying to control it.,6,
