volume,scale_factor,time,time_plus_1.2,cen,dmn,stage,cen_cumulative_hits,dmn_cumulative_hits,pda_outlier,ball_y_position,top_circle_y_position,bottom_circle_y_position
0,15.625,7.05150294303894,8.251504373550414,0.0,0.0,baseline,0,0,nan,nan,nan,nan
1,15.625,7.10077166557312,8.30077428817749,0.0,0.0,baseline,0,0,nan,nan,nan,nan
2,15.625,7.167597532272339,8.367600393295287,0.0,0.0,baseline,0,0,nan,nan,nan,nan
3,15.625,7.234726905822754,8.434728336334228,0.0,0.0,baseline,0,0,nan,nan,nan,nan
4,15.625,7.283806800842285,8.48380799293518,0.0,0.0,baseline,0,0,nan,nan,nan,nan
5,15.625,8.250616550445557,9.45061798095703,0.0,0.0,baseline,0,0,nan,nan,nan,nan
6,15.625,9.450644731521606,10.650645685195922,0.0,0.0,baseline,0,0,nan,nan,nan,nan
7,15.625,10.585784912109375,11.78578586578369,0.0,0.0,baseline,0,0,nan,nan,nan,nan
8,15.625,11.800652503967285,13.00065369606018,-0.006733,0.005024,baseline,0,0,nan,nan,nan,nan
9,15.625,13.017530679702759,14.217533302307128,0.037832,-0.313327,baseline,0,0,nan,nan,nan,nan
10,15.625,14.21768593788147,15.417686891555785,-0.061547,-0.05598,baseline,0,0,nan,nan,nan,nan
11,15.625,15.383686304092407,16.583687496185302,0.057202,0.049496,baseline,0,0,nan,nan,nan,nan
12,15.625,16.600646018981934,17.800648641586303,0.072649,0.040359,baseline,0,0,nan,nan,nan,nan
13,15.625,17.83387565612793,19.033876848220824,0.151009,-0.023781,baseline,0,0,nan,nan,nan,nan
14,15.625,19.01775050163269,20.217751455307006,0.104225,0.14706,baseline,0,0,nan,nan,nan,nan
15,15.625,20.16704821586609,21.367051076889037,0.039543,0.069829,baseline,0,0,nan,nan,nan,nan
16,15.625,21.417499780654907,22.617500972747802,0.095466,0.071375,baseline,0,0,nan,nan,nan,nan
17,15.625,22.58366060256958,23.783661556243896,0.193157,0.14833,baseline,0,0,nan,nan,nan,nan
18,15.625,23.834187030792236,25.034189653396606,0.028135,0.038758,baseline,0,0,nan,nan,nan,nan
19,15.625,25.034393310546875,26.234395933151244,0.112694,0.139566,baseline,0,0,nan,nan,nan,nan
20,15.625,26.234227418899536,27.434230279922485,0.051796,0.041693,baseline,0,0,nan,nan,nan,nan
21,15.625,27.384105443954468,28.584108304977416,0.118001,-0.03046,baseline,0,0,nan,nan,nan,nan
22,15.625,28.65163016319275,29.851631355285644,0.008595,-0.047449,baseline,0,0,nan,nan,nan,nan
23,15.625,29.833818197250366,31.03381938934326,0.111234,0.119276,baseline,0,0,nan,nan,nan,nan
24,15.625,31.068085432052612,32.26808662414551,0.121675,0.099396,feedback,0,0,False,0.0,0.3333333333333333,-0.3333333333333333
25,15.625,32.217986822128296,33.417988014221194,-0.088574,0.060572,feedback,0,0,False,0.0032027589621663045,0.3333333333333333,-0.3333333333333333
26,15.625,33.38486409187317,34.58486504554749,-0.235482,-0.009825,feedback,0,0,False,-0.018548736513841164,0.3333333333333333,-0.3333333333333333
27,15.625,34.66802144050598,35.8680223941803,-0.326059,0.008932,feedback,0,0,False,-0.05474960637352477,0.3333333333333333,-0.3333333333333333
28,15.625,35.85115647315979,37.05115766525269,-0.106777,-0.039881,feedback,0,0,False,-0.10430272122083929,0.3333333333333333,-0.3333333333333333
29,15.625,37.018020153045654,38.21802134513855,0.00872,-0.061481,feedback,0,0,False,-0.11405885307394266,0.3333333333333333,-0.3333333333333333
30,15.625,38.201075077056885,39.401076030731204,-0.012078,-0.071694,feedback,0,0,False,-0.10367446001443907,0.3333333333333333,-0.3333333333333333
31,15.625,39.41750717163086,40.61750812530518,0.001714,-0.032241,feedback,0,0,False,-0.0946074276852614,0.3333333333333333,-0.3333333333333333
32,15.625,40.63416934013367,41.834170293807986,-0.070592,-0.141393,feedback,0,0,False,-0.08944319186371634,0.3333333333333333,-0.3333333333333333
33,15.625,41.78521800041199,42.98522062301636,0.198145,-0.096645,feedback,0,0,False,-0.0792650628058442,0.3333333333333333,-0.3333333333333333
34,15.625,43.05131220817566,44.25131483078003,0.228426,0.126435,feedback,0,0,False,-0.03258775383110124,0.3333333333333333,-0.3333333333333333
35,15.625,44.23527979850769,45.43528099060059,0.388376,0.147133,feedback,0,0,False,-0.01750086571651776,0.3333333333333333,-0.3333333333333333
36,15.625,45.45129680633545,46.65129942893982,0.248503,0.192174,feedback,0,0,False,0.019189923336552773,0.3333333333333333,-0.3333333333333333
37,15.625,46.5840482711792,47.78404922485352,0.329858,0.136726,feedback,0,0,False,0.027170245516490183,0.3333333333333333,-0.3333333333333333
38,15.625,47.90188956260681,49.10189051628113,0.287447,0.085273,feedback,0,0,False,0.058958069539117086,0.3333333333333333,-0.3333333333333333
39,15.625,49.00185298919678,50.2018539428711,0.267347,0.060164,feedback,0,0,False,0.08675832009515719,0.3333333333333333,-0.3333333333333333
